order_item_id,order_id,product_id,sales,quantity,discount,profit
CA-2015-135545_65,CA-2015-135545,OFF-PA-10003892,146.73,3,0.0,68.9631
CA-2015-135545_66,CA-2015-135545,FUR-FU-10000397,79.76,4,0.0,22.3328
US-2015-164175_67,US-2015-164175,FUR-CH-10001146,213.115,5,0.3,-15.2225
CA-2014-106376_68,CA-2014-106376,OFF-AR-10002671,1113.024,8,0.2,111.3024
CA-2014-106376_69,CA-2014-106376,TEC-PH-10002726,167.968,4,0.2,62.988
CA-2016-119823_70,CA-2016-119823,OFF-PA-10000482,75.88,2,0.0,35.6636
CA-2016-106075_71,CA-2016-106075,OFF-BI-10004654,4.616,1,0.2,1.731
CA-2017-114440_72,CA-2017-114440,OFF-PA-10004675,19.05,3,0.0,8.763
US-2015-134026_73,US-2015-134026,FUR-CH-10000513,831.936,8,0.2,-114.3912
US-2015-134026_74,US-2015-134026,FUR-FU-10003708,97.04,2,0.2,1.213
US-2015-134026_75,US-2015-134026,OFF-ST-10004123,72.784,1,0.2,-18.196
US-2017-118038_76,US-2017-118038,OFF-BI-10004182,1.248,3,0.8,-1.9344
US-2017-118038_77,US-2017-118038,FUR-FU-10000260,9.708,3,0.6,-5.8248
US-2017-118038_78,US-2017-118038,OFF-ST-10000615,27.24,3,0.2,2.724
US-2014-147606_79,US-2014-147606,FUR-FU-10003194,19.3,5,0.6,-14.475
CA-2016-127208_80,CA-2016-127208,OFF-AP-10002118,208.16,1,0.0,56.2032
CA-2016-127208_81,CA-2016-127208,OFF-BI-10002309,16.74,3,0.0,8.0352
CA-2014-139451_82,CA-2014-139451,OFF-AR-10002053,14.9,5,0.0,4.172
CA-2014-139451_83,CA-2014-139451,OFF-ST-10002370,21.39,1,0.0,6.2031
CA-2015-149734_84,CA-2015-149734,OFF-EN-10000927,200.984,7,0.2,62.8075
US-2017-119662_85,US-2017-119662,OFF-ST-10003656,230.376,3,0.2,-48.9549
CA-2017-140088_86,CA-2017-140088,FUR-CH-10000863,301.96,2,0.0,33.2156
CA-2017-155558_87,CA-2017-155558,TEC-AC-10001998,19.99,1,0.0,6.7966
CA-2017-155558_88,CA-2017-155558,OFF-LA-10000134,6.16,2,0.0,2.9568
CA-2016-159695_89,CA-2016-159695,OFF-ST-10003442,158.368,7,0.2,13.8572
CA-2016-109806_90,CA-2016-109806,OFF-AR-10004930,20.1,3,0.0,6.633
CA-2016-109806_91,CA-2016-109806,TEC-PH-10004093,73.584,2,0.2,8.2782
CA-2016-109806_92,CA-2016-109806,OFF-PA-10000304,6.48,1,0.0,3.1104
CA-2015-149587_93,CA-2015-149587,OFF-PA-10003177,12.96,2,0.0,6.2208
CA-2015-149587_94,CA-2015-149587,FUR-FU-10003799,53.34,3,0.0,16.5354
CA-2015-149587_95,CA-2015-149587,OFF-BI-10002852,32.96,2,0.0,16.1504
US-2017-109484_96,US-2017-109484,OFF-BI-10004738,5.682,1,0.7,-3.788
CA-2017-161018_97,CA-2017-161018,FUR-FU-10000629,96.53,7,0.0,40.5426
CA-2017-157833_98,CA-2017-157833,OFF-BI-10001721,51.312,3,0.2,17.9592
CA-2016-149223_99,CA-2016-149223,OFF-AP-10000358,77.88,6,0.0,22.5852
CA-2016-158568_100,CA-2016-158568,OFF-PA-10003256,64.624,7,0.2,22.6184
CA-2016-158568_101,CA-2016-158568,TEC-AC-10001767,95.976,3,0.2,-10.7973
CA-2016-158568_102,CA-2016-158568,OFF-BI-10002609,1.788,3,0.8,-3.0396
CA-2016-129903_103,CA-2016-129903,OFF-PA-10004040,23.92,4,0.0,11.7208
US-2015-156867_104,US-2015-156867,TEC-AC-10001552,238.896,6,0.2,-26.8758
US-2015-156867_105,US-2015-156867,FUR-FU-10004006,102.36,3,0.2,-3.8385
US-2015-156867_106,US-2015-156867,OFF-BI-10002794,36.882,3,0.7,-25.8174
CA-2017-119004_107,CA-2017-119004,TEC-AC-10003499,74.112,8,0.2,17.6016
CA-2017-119004_108,CA-2017-119004,TEC-PH-10002844,27.992,1,0.2,2.0994
CA-2017-119004_109,CA-2017-119004,OFF-AR-10000390,3.304,1,0.2,1.0738
CA-2015-129476_110,CA-2015-129476,TEC-AC-10000844,339.96,5,0.2,67.992
CA-2017-146780_111,CA-2017-146780,FUR-FU-10001934,41.96,2,0.0,10.9096
CA-2016-128867_112,CA-2016-128867,OFF-AR-10000380,75.96,2,0.0,22.788
CA-2016-128867_113,CA-2016-128867,OFF-BI-10003981,27.24,6,0.0,13.3476
CA-2014-115259_114,CA-2014-115259,OFF-FA-10000621,40.096,14,0.2,14.5348
CA-2014-115259_115,CA-2014-115259,OFF-EN-10002600,4.72,2,0.2,1.652
CA-2014-115259_116,CA-2014-115259,OFF-PA-10004965,23.976,3,0.2,7.4925
CA-2014-115259_117,CA-2014-115259,OFF-EN-10002504,130.464,6,0.2,44.0316
CA-2015-110457_118,CA-2015-110457,FUR-TA-10001768,787.53,3,0.0,165.3813
US-2015-136476_119,US-2015-136476,OFF-BI-10003650,157.794,1,0.7,-115.7156
CA-2016-103730_120,CA-2016-103730,FUR-FU-10002157,47.04,3,0.0,18.3456
CA-2016-103730_121,CA-2016-103730,OFF-BI-10003910,30.84,4,0.0,13.878
CA-2016-103730_122,CA-2016-103730,OFF-ST-10000777,226.56,6,0.0,63.4368
CA-2016-103730_123,CA-2016-103730,OFF-EN-10002500,115.02,9,0.0,51.759
CA-2016-103730_124,CA-2016-103730,TEC-PH-10003875,68.04,7,0.0,19.7316
US-2014-152030_125,US-2014-152030,FUR-CH-10004063,600.558,3,0.3,-8.5794
US-2014-134614_126,US-2014-134614,FUR-TA-10004534,617.7,6,0.5,-407.682
US-2017-107272_127,US-2017-107272,OFF-BI-10003274,2.388,2,0.7,-1.8308
US-2017-107272_128,US-2017-107272,OFF-ST-10002974,243.992,7,0.2,30.499
US-2016-125969_129,US-2016-125969,FUR-CH-10001146,81.424,2,0.2,-9.1602
US-2016-125969_130,US-2016-125969,FUR-FU-10003773,238.56,3,0.0,26.2416
US-2017-164147_131,US-2017-164147,TEC-PH-10002293,59.97,5,0.4,-11.994
US-2017-164147_132,US-2017-164147,OFF-PA-10002377,78.304,2,0.2,29.364
US-2017-164147_133,US-2017-164147,OFF-FA-10002780,21.456,9,0.2,6.9732
CA-2016-145583_134,CA-2016-145583,OFF-PA-10001804,20.04,3,0.0,9.6192
CA-2016-145583_135,CA-2016-145583,OFF-PA-10001736,35.44,1,0.0,16.6568
CA-2016-145583_136,CA-2016-145583,OFF-AR-10001149,11.52,4,0.0,3.456
CA-2016-145583_137,CA-2016-145583,OFF-FA-10002988,4.02,2,0.0,1.9698
CA-2016-145583_138,CA-2016-145583,OFF-BI-10004781,76.176,3,0.2,26.6616
CA-2016-145583_139,CA-2016-145583,OFF-SU-10001218,65.88,6,0.0,18.4464
CA-2016-145583_140,CA-2016-145583,FUR-FU-10001706,43.12,14,0.0,20.6976
CA-2016-110366_141,CA-2016-110366,FUR-FU-10004848,82.8,2,0.2,10.35
CA-2017-106180_142,CA-2017-106180,OFF-AR-10000940,8.82,3,0.0,2.3814
CA-2017-106180_143,CA-2017-106180,OFF-EN-10004030,10.86,3,0.0,5.1042
CA-2017-106180_144,CA-2017-106180,OFF-PA-10004327,143.7,3,0.0,68.976
CA-2017-155376_145,CA-2017-155376,OFF-AP-10001058,839.43,3,0.0,218.2518
CA-2015-110744_146,CA-2015-110744,OFF-ST-10003656,671.93,7,0.0,20.1579
CA-2014-110072_147,CA-2014-110072,FUR-FU-10000521,93.888,4,0.2,12.9096
CA-2016-114489_148,CA-2016-114489,TEC-PH-10000215,384.45,11,0.0,103.8015
CA-2016-114489_149,CA-2016-114489,TEC-PH-10001448,149.97,3,0.0,5.9988
CA-2016-114489_150,CA-2016-114489,FUR-CH-10000454,1951.84,8,0.0,585.552
CA-2016-114489_151,CA-2016-114489,OFF-BI-10002735,171.55,5,0.0,80.6285
CA-2016-158834_152,CA-2016-158834,OFF-AP-10000326,157.92,5,0.2,17.766
CA-2016-158834_153,CA-2016-158834,TEC-PH-10001254,203.184,2,0.2,15.2388
CA-2015-124919_154,CA-2015-124919,OFF-PA-10001950,58.38,7,0.0,26.271
CA-2015-124919_155,CA-2015-124919,OFF-PA-10002254,105.52,4,0.0,48.5392
CA-2015-124919_156,CA-2015-124919,OFF-ST-10001590,80.88,6,0.0,21.0288
CA-2015-118948_157,CA-2015-118948,OFF-AR-10001547,6.63,3,0.0,1.7901
CA-2014-104269_158,CA-2014-104269,FUR-CH-10004063,457.568,2,0.2,51.4764
CA-2016-114104_159,CA-2016-114104,OFF-LA-10002475,14.62,2,0.0,6.8714
CA-2016-114104_160,CA-2016-114104,TEC-PH-10004536,944.93,7,0.0,236.2325
CA-2016-162733_161,CA-2016-162733,OFF-PA-10002751,5.98,1,0.0,2.691
CA-2015-119697_162,CA-2015-119697,TEC-AC-10003657,54.384,2,0.2,1.3596
CA-2016-154508_163,CA-2016-154508,OFF-EN-10001990,28.4,5,0.0,13.348
CA-2016-113817_164,CA-2016-113817,OFF-BI-10004002,27.68,2,0.2,9.688
CA-2014-139892_165,CA-2014-139892,OFF-AR-10004441,9.936,3,0.2,2.7324
CA-2014-139892_166,CA-2014-139892,TEC-MA-10000822,8159.952,8,0.4,-1359.992
CA-2014-139892_167,CA-2014-139892,OFF-ST-10000991,275.928,3,0.2,-58.6347
CA-2014-139892_168,CA-2014-139892,FUR-CH-10004287,1740.06,9,0.3,-24.858
CA-2014-139892_169,CA-2014-139892,OFF-AR-10002656,32.064,6,0.2,6.8136
CA-2014-139892_170,CA-2014-139892,OFF-AP-10002518,177.98,5,0.8,-453.849
CA-2014-139892_171,CA-2014-139892,TEC-PH-10003931,143.976,3,0.2,8.9985
CA-2014-118962_172,CA-2014-118962,OFF-PA-10000659,20.94,3,0.0,9.8418
CA-2014-118962_173,CA-2014-118962,OFF-PA-10001144,110.96,2,0.0,53.2608
CA-2014-118962_174,CA-2014-118962,FUR-CH-10003817,340.144,7,0.2,21.259
US-2014-100853_175,US-2014-100853,OFF-AP-10000891,52.448,2,0.8,-131.12
US-2014-100853_176,US-2014-100853,OFF-LA-10003148,20.16,4,0.2,6.552
US-2017-152366_177,US-2017-152366,OFF-AP-10002684,97.264,4,0.8,-243.16
US-2015-101511_178,US-2015-101511,FUR-CH-10004698,396.802,7,0.3,-11.3372
US-2015-101511_179,US-2015-101511,OFF-SU-10002189,15.88,5,0.2,-3.7715
CA-2015-137225_180,CA-2015-137225,OFF-AR-10001940,3.28,1,0.0,1.4104
CA-2014-166191_181,CA-2014-166191,OFF-ST-10003455,24.816,2,0.2,1.8612
CA-2014-166191_182,CA-2014-166191,TEC-AC-10004659,408.744,7,0.2,76.6395
CA-2014-158274_183,CA-2014-158274,TEC-PH-10003273,503.96,4,0.0,131.0296
CA-2014-158274_184,CA-2014-158274,TEC-PH-10004896,149.95,5,0.0,41.986
CA-2014-158274_185,CA-2014-158274,TEC-AC-10002345,29.0,2,0.0,7.25
CA-2016-105018_186,CA-2016-105018,OFF-BI-10001890,7.16,2,0.0,3.4368
CA-2014-123260_187,CA-2014-123260,TEC-AC-10002323,176.8,8,0.0,22.984
CA-2016-157000_188,CA-2016-157000,OFF-ST-10001328,37.224,3,0.2,3.7224
CA-2016-157000_189,CA-2016-157000,OFF-PA-10001950,20.016,3,0.2,6.255
CA-2015-102281_190,CA-2015-102281,FUR-BO-10002613,899.136,4,0.2,112.392
CA-2015-102281_191,CA-2015-102281,TEC-PH-10001552,71.76,6,0.0,20.0928
CA-2015-102281_192,CA-2015-102281,OFF-PA-10000061,51.84,8,0.0,24.8832
CA-2015-102281_193,CA-2015-102281,FUR-BO-10002545,626.352,3,0.2,46.9764
CA-2015-102281_194,CA-2015-102281,OFF-AR-10003514,19.9,5,0.0,6.567
CA-2015-131457_195,CA-2015-131457,OFF-EN-10001509,14.28,7,0.0,6.7116
CA-2014-140004_196,CA-2014-140004,OFF-AR-10004685,7.408,2,0.2,1.2038
CA-2014-140004_197,CA-2014-140004,OFF-AR-10004027,6.048,3,0.2,1.5876
CA-2017-107720_198,CA-2017-107720,OFF-ST-10001414,46.26,3,0.0,12.0276
US-2017-124303_199,US-2017-124303,OFF-BI-10000343,2.946,2,0.7,-2.2586
US-2017-124303_200,US-2017-124303,OFF-PA-10002749,16.056,3,0.2,5.8203
CA-2017-105074_201,CA-2017-105074,OFF-PA-10002666,21.744,3,0.2,6.795
CA-2014-133690_202,CA-2014-133690,FUR-TA-10004289,218.75,2,0.5,-161.875
CA-2014-133690_203,CA-2014-133690,OFF-AP-10003622,2.6,1,0.2,0.2925
US-2017-116701_204,US-2017-116701,OFF-AP-10003217,66.284,2,0.8,-178.9668
CA-2017-126382_205,CA-2017-126382,FUR-FU-10002960,35.168,7,0.2,9.6712
CA-2017-108329_206,CA-2017-108329,TEC-PH-10001918,444.768,4,0.2,44.4768
CA-2017-135860_207,CA-2017-135860,OFF-ST-10000642,83.92,4,0.0,5.8744
CA-2017-135860_208,CA-2017-135860,TEC-PH-10001700,131.98,2,0.0,35.6346
CA-2017-135860_209,CA-2017-135860,OFF-BI-10003274,15.92,4,0.0,7.4824
CA-2017-135860_210,CA-2017-135860,OFF-FA-10000134,52.29,9,0.0,16.2099
CA-2017-135860_211,CA-2017-135860,OFF-ST-10001522,91.99,1,0.0,3.6796
CA-2015-101007_212,CA-2015-101007,TEC-AC-10001266,20.8,2,0.2,6.5
CA-2015-146262_213,CA-2015-146262,OFF-LA-10004544,23.68,2,0.2,8.88
CA-2015-146262_214,CA-2015-146262,FUR-BO-10004695,452.45,5,0.5,-244.323
CA-2015-146262_215,CA-2015-146262,TEC-PH-10002844,62.982,3,0.4,-14.6958
CA-2015-146262_216,CA-2015-146262,TEC-MA-10000864,1188.0,9,0.7,-950.4
CA-2015-146262_217,CA-2015-146262,TEC-AC-10000109,89.584,2,0.2,4.4792
CA-2016-130162_218,CA-2016-130162,OFF-ST-10001328,93.06,6,0.0,26.0568
CA-2016-130162_219,CA-2016-130162,TEC-PH-10002563,302.376,3,0.2,22.6782
CA-2015-169397_220,CA-2015-169397,OFF-FA-10000585,5.584,2,0.2,1.8148
CA-2015-169397_221,CA-2015-169397,OFF-PA-10004000,22.704,6,0.2,8.2302
CA-2015-169397_222,CA-2015-169397,OFF-BI-10002852,19.776,4,0.7,-13.8432
CA-2015-169397_223,CA-2015-169397,FUR-FU-10000087,72.704,4,0.2,19.0848
CA-2015-169397_224,CA-2015-169397,TEC-MA-10001148,479.988,4,0.7,-383.9904
CA-2015-169397_225,CA-2015-169397,OFF-AR-10001958,27.168,2,0.2,2.7168
CA-2015-163055_226,CA-2015-163055,OFF-AR-10001026,2.2,1,0.0,0.968
CA-2015-163055_227,CA-2015-163055,FUR-TA-10003748,622.45,5,0.0,136.939
CA-2015-163055_228,CA-2015-163055,OFF-ST-10002485,21.98,1,0.0,0.2198
US-2015-145436_229,US-2015-145436,FUR-CH-10004860,161.568,2,0.2,-28.2744
US-2015-145436_230,US-2015-145436,FUR-CH-10004477,389.696,8,0.2,43.8408
US-2014-156216_231,US-2014-156216,OFF-BI-10001679,18.648,7,0.7,-12.432
US-2017-100930_232,US-2017-100930,FUR-TA-10001705,233.86,2,0.45,-102.048
US-2017-100930_233,US-2017-100930,FUR-TA-10003473,620.6145,3,0.45,-248.2458
US-2017-100930_234,US-2017-100930,OFF-BI-10001679,5.328,2,0.7,-3.552
US-2017-100930_235,US-2017-100930,FUR-FU-10004017,258.072,3,0.2,0.0
US-2017-100930_236,US-2017-100930,TEC-AC-10003832,617.976,3,0.2,-7.7247
CA-2017-160514_237,CA-2017-160514,OFF-PA-10002479,10.56,2,0.0,4.752
CA-2016-157749_238,CA-2016-157749,OFF-PA-10003349,25.92,5,0.2,9.396
CA-2016-157749_239,CA-2016-157749,FUR-FU-10000576,419.68,5,0.6,-356.728
CA-2016-157749_240,CA-2016-157749,FUR-FU-10004351,11.688,3,0.6,-4.6752
CA-2016-157749_241,CA-2016-157749,TEC-PH-10000011,31.984,2,0.2,11.1944
CA-2016-157749_242,CA-2016-157749,FUR-TA-10002607,177.225,5,0.5,-120.513
CA-2016-157749_243,CA-2016-157749,FUR-FU-10002505,4.044,3,0.6,-2.8308
CA-2016-157749_244,CA-2016-157749,OFF-AR-10004685,7.408,2,0.2,1.2038
CA-2014-131926_245,CA-2014-131926,FUR-CH-10004063,2001.86,7,0.0,580.5394
CA-2014-131926_246,CA-2014-131926,OFF-ST-10002276,166.72,2,0.0,41.68
CA-2014-131926_247,CA-2014-131926,OFF-PA-10004082,47.88,6,0.0,23.94
CA-2014-131926_248,CA-2014-131926,OFF-AP-10002945,1503.25,5,0.0,496.0725
CA-2014-131926_249,CA-2014-131926,OFF-PA-10000061,25.92,4,0.0,12.4416
CA-2016-154739_250,CA-2016-154739,FUR-CH-10002965,321.568,2,0.2,28.1372
CA-2016-145625_251,CA-2016-145625,OFF-PA-10004569,7.61,1,0.0,3.5767
CA-2016-145625_252,CA-2016-145625,TEC-AC-10003832,3347.37,13,0.0,636.0003
CA-2016-146941_253,CA-2016-146941,OFF-ST-10001228,80.58,6,0.0,22.5624
CA-2016-146941_254,CA-2016-146941,OFF-EN-10003296,361.92,4,0.0,162.864
US-2015-159982_255,US-2015-159982,FUR-FU-10002505,12.132,9,0.6,-8.4924
US-2015-159982_256,US-2015-159982,OFF-ST-10004804,82.368,2,0.2,-19.5624
US-2015-159982_257,US-2015-159982,OFF-ST-10001590,53.92,5,0.2,4.044
US-2015-159982_258,US-2015-159982,TEC-PH-10001580,647.904,6,0.2,56.6916
CA-2017-163139_259,CA-2017-163139,TEC-AC-10000290,20.37,3,0.0,6.9258
CA-2017-163139_260,CA-2017-163139,OFF-ST-10002790,221.55,3,0.0,6.6465
CA-2017-163139_261,CA-2017-163139,OFF-BI-10003460,17.52,5,0.2,6.132
US-2017-155299_262,US-2017-155299,OFF-AP-10002203,1.624,2,0.8,-4.466
US-2014-106992_263,US-2014-106992,TEC-MA-10000822,3059.982,3,0.4,-509.997
US-2014-106992_264,US-2014-106992,TEC-MA-10003353,2519.958,7,0.4,-251.9958
CA-2016-125318_265,CA-2016-125318,TEC-PH-10001433,328.224,4,0.2,28.7196
CA-2015-155040_266,CA-2015-155040,TEC-AC-10004469,79.9,2,0.0,35.156
CA-2017-136826_267,CA-2017-136826,OFF-AR-10003602,14.016,3,0.2,4.7304
CA-2016-111010_268,CA-2016-111010,OFF-FA-10003472,7.56,6,0.0,0.3024
US-2017-145366_269,US-2017-145366,OFF-ST-10004180,37.208,1,0.2,-7.4416
US-2017-145366_270,US-2017-145366,OFF-EN-10004386,57.576,3,0.2,21.591
CA-2017-163979_271,CA-2017-163979,OFF-ST-10003208,725.84,4,0.0,210.4936
CA-2015-155334_272,CA-2015-155334,TEC-AC-10003628,209.93,7,0.0,92.3692
CA-2015-155334_273,CA-2015-155334,FUR-FU-10003274,5.28,3,0.0,2.3232
CA-2015-155334_274,CA-2015-155334,OFF-BI-10002557,10.92,3,0.2,4.095
CA-2017-118136_275,CA-2017-118136,OFF-PA-10002615,8.82,2,0.0,4.0572
CA-2017-118136_276,CA-2017-118136,OFF-AR-10001427,5.98,1,0.0,1.5548
CA-2017-132976_277,CA-2017-132976,OFF-PA-10000673,11.648,2,0.2,4.0768
CA-2017-132976_278,CA-2017-132976,OFF-PA-10004470,18.176,4,0.2,5.9072
CA-2017-132976_279,CA-2017-132976,OFF-ST-10000876,59.712,6,0.2,5.9712
CA-2017-132976_280,CA-2017-132976,OFF-LA-10002043,24.84,3,0.2,8.694
US-2015-161991_281,US-2015-161991,OFF-BI-10004967,2.08,5,0.8,-3.432
US-2015-161991_282,US-2015-161991,TEC-PH-10001760,1114.4,7,0.2,376.11
CA-2015-130890_283,CA-2015-130890,FUR-TA-10002903,1038.84,5,0.2,51.942
CA-2015-130883_284,CA-2015-130883,OFF-PA-10000474,141.76,5,0.2,47.844
CA-2015-130883_285,CA-2015-130883,TEC-AC-10001956,239.8,5,0.2,47.96
CA-2015-130883_286,CA-2015-130883,OFF-PA-10004100,31.104,6,0.2,10.8864
CA-2016-112697_287,CA-2016-112697,OFF-BI-10000778,254.058,7,0.7,-169.372
CA-2016-112697_288,CA-2016-112697,OFF-AP-10002684,194.528,2,0.2,24.316
CA-2016-112697_289,CA-2016-112697,OFF-SU-10000646,961.48,5,0.2,-204.3145
CA-2016-110772_290,CA-2016-110772,OFF-FA-10002983,19.096,7,0.2,6.6836
CA-2016-110772_291,CA-2016-110772,OFF-LA-10004689,18.496,8,0.2,6.2424
CA-2016-110772_292,CA-2016-110772,TEC-AC-10002001,255.984,2,0.2,54.3966
CA-2016-110772_293,CA-2016-110772,FUR-BO-10004709,86.97,3,0.5,-48.7032
CA-2014-111451_294,CA-2014-111451,FUR-FU-10004091,300.416,8,0.2,78.8592
CA-2014-111451_295,CA-2014-111451,FUR-CH-10001891,230.352,3,0.2,20.1558
CA-2014-111451_296,CA-2014-111451,FUR-FU-10002918,218.352,3,0.2,-24.5646
CA-2014-111451_297,CA-2014-111451,OFF-BI-10004593,78.6,5,0.7,-62.88
CA-2014-111451_298,CA-2014-111451,OFF-FA-10004854,27.552,3,0.2,9.2988
CA-2016-142545_299,CA-2016-142545,OFF-PA-10002105,32.4,5,0.0,15.552
CA-2016-142545_300,CA-2016-142545,OFF-ST-10002756,1082.48,8,0.0,10.8248
CA-2016-142545_301,CA-2016-142545,OFF-PA-10004243,56.91,3,0.0,27.3168
CA-2016-142545_302,CA-2016-142545,FUR-FU-10001861,77.6,4,0.0,38.024
CA-2016-142545_303,CA-2016-142545,OFF-BI-10002706,14.28,1,0.0,6.5688
US-2017-152380_304,US-2017-152380,FUR-TA-10002533,219.075,3,0.5,-131.445
CA-2015-144253_305,CA-2015-144253,FUR-FU-10002671,26.8,2,0.0,12.864
CA-2014-130960_306,CA-2014-130960,OFF-AR-10003651,9.84,3,0.0,2.8536
